Faqir Colony	 Metroville
 HassanSquare	 Urdu Science Collage
 Urdu Science Collage	 N.I.P.A
 N.I.P.A	 SaFareed Colony
 SaFareed Colony	 19-D Nai Abadi
 19-D Nai Abadi	 Rasheedabad
 Rasheedabad	 Polictechnic College
 Polictechnic College	Rasheed Textile Mills
Rasheed Textile Mills	

Banaras Chowk	 Abdullah College
 Abdullah College	 Board Office
 Board Office	 Hyderi
 Hyderi	Ziauddin Hospital
Ziauddin Hospital	 Liaquatabad No. 10
 Liaquatabad No. 10	Goharabad
Goharabad	 Hassan Square
 Hassan Square	 University Road
 University Road	

Ittehad Town	 Naiabadi
 Naiabadi	 Fareed Colony
 Fareed Colony	 Faqir Colony
 Faqir Colony	 Mominabad
 Mominabad	 Frontier mor
 Frontier mor	 HabibChowrangi
 HabibChowrangi	 Valika mills
 Valika mills	 habib bank
 habib bank	 Petrol Pump
 Petrol Pump	 Nazimabad
 Nazimabad	 Liaquatabad No 10
 Liaquatabad No 10	 Teen hatti
 Teen hatti	

P.I.B Colony	 Jail Road
 Jail Road	 Shaheed millat Road
 Shaheed millat Road	 Baloch Colony
 Baloch Colony	 Qayumabad
 Qayumabad	 Biscuit Factory
 Biscuit Factory	

Chamra Chowrangi	 Sinfer Chowrangi
 Sinfer Chowrangi	 Shareefa Goth
 Shareefa Goth	 Mansehra Colony
 Mansehra Colony	 Dawood Chowrangi
 Dawood Chowrangi	

Sherpao Colony	 Sessi Hospital
 Sessi Hospital	 Cattel Colony
 Cattel Colony	

Ittehad Town	 naiabadi
 naiabadi	 Gulshan Ghazi
 Gulshan Ghazi	 Fareed Colony
 Fareed Colony	 Urdu Chowk
 Urdu Chowk	 Orangi No 5
 Orangi No 5	 BanarasChowk
 BanarasChowk	 Valika mills
 Valika mills	 Habib bank
 Habib bank	 Nazimabad
 Nazimabad	 Liaquatabad No 10
 Liaquatabad No 10	 Gharibabad
 Gharibabad	 Ishaqabad bridgh
 Ishaqabad bridgh	

Hassan square	 University Road
 University Road	 Metrologecal Department
 Metrologecal Department	 Gulistan-e-johar
 Gulistan-e-johar	

Gul City	 Moach Goth
 Moach Goth	 Ruby Turn
 Ruby Turn	 Saeedabad
 Saeedabad	 Pareshan Chowk
 Pareshan Chowk	 Faqir Colony
 Faqir Colony	 Badar Chowk No4
 Badar Chowk No4	 Badar Chowk No 5
 Badar Chowk No 5	 Bacha khan Chowk
 Bacha khan Chowk	 Abdullah college
 Abdullah college	 Board office
 Board office	 Khayaban-e-shershah
 Khayaban-e-shershah	soori Road
soori Road	 Hyderi
 Hyderi	 Sakhi Hasan
 Sakhi Hasan	 Nagan Chowrangi
 Nagan Chowrangi	 Sohrab Goth
 Sohrab Goth	 Shahrah Pakistan
 Shahrah Pakistan	 ScoutColony
 ScoutColony	 Abul Hassan Isphahani Road
 Abul Hassan Isphahani Road	 Safari Park
 Safari Park	 University
 University	 Safoora Goth
 Safoora Goth	 Gul City
 Gul City	

Al ahmed Town	 Hub dam Road harri masjid
 Hub dam Road harri masjid	 Manghopir
 Manghopir	 Kawari Colony
 Kawari Colony	 Baloch Colony
 Baloch Colony	 Qasbamor
 Qasbamor	 Bacha khan Chowk
 Bacha khan Chowk	 Valika hospital
 Valika hospital	 Habib bank
 Habib bank	 Bara Board
 Bara Board	 Jehangirabad
 Jehangirabad	 GolimarChowrangi
 GolimarChowrangi	 Liaquatabad No 10
 Liaquatabad No 10	 Gharibabad
 Gharibabad	 Hassan Square
 Hassan Square	 University Road
 University Road	 N.I.P.A
 N.I.P.A	 RashidMinhas Road
 RashidMinhas Road	 Jalendhri Road
 Jalendhri Road	 Pahlwan Goth
 Pahlwan Goth	 Gul City
 Gul City	

Pahalwan Goth	 Safari Park
 Safari Park	 University Road
 University Road	 N.I.P.A
 N.I.P.A	 Hassan Square
 Hassan Square	Jail Road
Jail Road	 Shaheed-eMillat Road
 Shaheed-eMillat Road	 New Bridge Baloch Colony
 New Bridge Baloch Colony	 New BundChowrangi
 New BundChowrangi	 Bilal Chowrangi
 Bilal Chowrangi	 Landhi
 Landhi	 BabarMarket
 BabarMarket	 Hospital Chowrangi
 Hospital Chowrangi	 BhenseColony
 BhenseColony	

Gulistan-e-johar No. 10	 Jauhar square
 Jauhar square	 Drive-in-cinema
 Drive-in-cinema	 N.I.P.A
 N.I.P.A	 Samdani hospital
 Samdani hospital	 Yasinabad
 Yasinabad	 

Aisha Manzil	 Landhi kotal
 Landhi kotal	 Five star
 Five star	 North Nazimabad
 North Nazimabad	 Hyderi
 Hyderi	 Board office
 Board office	 Abdullah college
 Abdullah college	

Banaras Colony	 Orangi No 4
 Orangi No 4	 Badar Hotel
 Badar Hotel	 Mominabad
 Mominabad	 Rasheedabad
 Rasheedabad	

Karachi University	 University Road
 University Road	 Hyderabad Colony
 Hyderabad Colony	 Sabilwala Mosque
 Sabilwala Mosque	 Old Exhibition
 Old Exhibition	 M.AJinnah Road
 M.AJinnah Road	 Mir Karam Ali Talpur Road
 Mir Karam Ali Talpur Road	

Fisheries	 Khadda Market
 Khadda Market	 Memon Society
 Memon Society	 Mosa Lane
 Mosa Lane	 Lee Market
 Lee Market	 Old Haji Camp
 Old Haji Camp	 NishterRoad
 NishterRoad	 Garden
 Garden	 Lasbella Chowk
 Lasbella Chowk	 Teen Hatti
 Teen Hatti	 Jail Road
 Jail Road	 Sabzi Mandi
 Sabzi Mandi	 Country club Road
 Country club Road	

Gulshan-e-Iqbal	 Rashd Minhas Road
 Rashd Minhas Road	 Muscut Industries
 Muscut Industries	

Karachi University	 Sui Gas Terminus
 Sui Gas Terminus	 Scout Colony
 Scout Colony	 Rashid Minhas Road
 Rashid Minhas Road	 Water Pump
 Water Pump	 FedralB. Area
 FedralB. Area	 Dastagir No. 16
 Dastagir No. 16	 Ayub Manzil
 Ayub Manzil	 Hussainabad
 Hussainabad	 Aliabad
 Aliabad	 Karimabad
 Karimabad	 Liaquatabad
 Liaquatabad	 TeenHatti
 TeenHatti	 Goro Mandir
 Goro Mandir	 Purani Numaish
 Purani Numaish	 Tibet Centre
 Tibet Centre	 Jama Cloth Market
 Jama Cloth Market	 City Court
 City Court	 Tower
 Tower	 PunjabiClub
 PunjabiClub	 Khoja Jamat Khana
 Khoja Jamat Khana	 Gulbai
 Gulbai	

Mohajir Camp	 Gulshan-e-Ghazi
 Gulshan-e-Ghazi	 Nai Abadi
 Nai Abadi	 Mohajir Camp No. 7
 Mohajir Camp No. 7	 Mohajir Camp No. 8
 Mohajir Camp No. 8	

Shershah	 Gulbai
 Gulbai	 Agra Taj
 Agra Taj	 Tower
 Tower	 Bolton Market
 Bolton Market	 Jama Cloth Market
 Jama Cloth Market	 M.A Jinnah
 M.A Jinnah	 Numaish
 Numaish	

Khudadad Colony	Society Graveyard
Society Graveyard	 Tariq Road
 Tariq Road	 Bahadurabad
 Bahadurabad	 New Town
 New Town	 Sabzi Mandi
 Sabzi Mandi	Gulshan-e-Iqbal
Gulshan-e-Iqbal	 University
 University	 Safoora Goth
 Safoora Goth	

Metrological Office	 Dhabi Bux Goth
 Dhabi Bux Goth	 Rustam Goth
 Rustam Goth	 Royal Stop
 Royal Stop	 Juhar Square
 Juhar Square	 Safari Park
 Safari Park	

N.I.P.A Chowrangi	 Aziz Bhatti Park
 Aziz Bhatti Park	 K.D.A Civic Centre
 K.D.A Civic Centre	 Sabzi Mandi
 Sabzi Mandi	 Jamshed Road
 Jamshed Road	 GoroMandir
 GoroMandir	7th Day Hospital
7th Day Hospital	 M.A Jinnah Road
 M.A Jinnah Road	 City Court
 City Court	 Juna Market
 Juna Market	 Lee Market
 Lee Market	 Kharadar
 Kharadar	

Jamat Khana	 Kemari
 Kemari	 Dak Khana
 Dak Khana	 Masan Road
 Masan Road	 Sheeri jinnah College
 Sheeri jinnah College	

Ittehad Town	 Nai Abadi
 Nai Abadi	 19-D Qabrustan
 19-D Qabrustan	 Mohajir Camp No.7
 Mohajir Camp No.7	 Mohajir Camp No.4
 Mohajir Camp No.4	 Shershah
 Shershah	

Mira Naka	 Chakiwara
 Chakiwara	 Lee Market
 Lee Market	 Siddiq Wahab Road
 Siddiq Wahab Road	 Old Haji Camp
 Old Haji Camp	 Lawrence Road
 Lawrence Road	

Garden	 Lasbela
 Lasbela	 Teen Hatti
 Teen Hatti	 Jail Road
 Jail Road	 Sabzi Mandi
 Sabzi Mandi	 Hassan Square
 Hassan Square	 N.I.P.A
 N.I.P.A	 Safari Park
 Safari Park	Gulistan-e-Jouhar
Gulistan-e-Jouhar	 Pahlwan Goth
 Pahlwan Goth	

Lee Market	 Harichandrai Road
 Harichandrai Road	 Haji Camp
 Haji Camp	 Lawrence Road
 Lawrence Road	 M.A Jinnah Road
 M.A Jinnah Road	Frere Road
Frere Road	

Court Road	 Stretchen Road
 Stretchen Road	 Fatimah Jinnah Road
 Fatimah Jinnah Road	 Invararity Road
 Invararity Road	Lucky Star Hotel
Lucky Star Hotel	 JinnahHospital
 JinnahHospital	 Kala Pul
 Kala Pul	 Korangi Road
 Korangi Road	 Ibrahim Hyder
 Ibrahim Hyder	

Fleet Club	 Iqbal Shaheed Road
 Iqbal Shaheed Road	 Rafique Shaheed Road
 Rafique Shaheed Road	 Jinnah Hospital
 Jinnah Hospital	Kala Pul
Kala Pul	 KorangiRoad
 KorangiRoad	

Abro Salt Works	 Ibrahim Hyder
 Ibrahim Hyder	 Korangi Road
 Korangi Road	 Defence Society
 Defence Society	 JinnahHospiutal
 JinnahHospiutal	 Fleet Club
 Fleet Club	Mansfield
Mansfield	 Shahra-e-Iraq
 Shahra-e-Iraq	 Dawood Pota Road
 Dawood Pota Road	 M.AJinnah Road
 M.AJinnah Road	 City Court
 City Court	 Juna Maket
 Juna Maket	 LeeMarket
 LeeMarket	 Kakri Ground
 Kakri Ground	 Agha KhanRoad
 Agha KhanRoad	 Khoja Jamat Khana
 Khoja Jamat Khana	 West Wharf
 West Wharf	 FStation
 FStation	 I.I Chundrigar Road
 I.I Chundrigar Road	 M.R Kiyani Road
 M.R Kiyani Road	 Mansfield
 Mansfield	 M.A JinnahRoad
 M.A JinnahRoad	 Clayton Road
 Clayton Road	 PIBColony
 PIBColony	 Frere Road
 Frere Road	 Preedy Station
 Preedy Station	

PIB Colony	 Dangerai Road
 Dangerai Road	 New M.A Jinnah Road
 New M.A Jinnah Road	 Mazar-e-Quaid
 Mazar-e-Quaid	 OldExhibition
 OldExhibition	 M.A JinnahRoad
 M.A JinnahRoad	 Tower
 Tower	 Dockyard
 Dockyard	

New Town Mosque	 Clifton Road
 Clifton Road	 M.A Jinnah Road
 M.A Jinnah Road	 Keamari
 Keamari	Dockyard
Dockyard	 Tower
 Tower	 M.A Jinnah Road
 M.A Jinnah Road	 Mazar-e-Quaid
 Mazar-e-Quaid	 Shahra-e-Quaiden
 Shahra-e-Quaiden	 Tariq Road
 Tariq Road	

Bahadurabad	 Dhoraji Colony
 Dhoraji Colony	 Sailani Colony
 Sailani Colony	 Muhammad Ali Chowk
 Muhammad Ali Chowk	 Shahra-e-Faisal
 Shahra-e-Faisal	 BalochColony
 BalochColony	Shaheed-e-Millat Road
Shaheed-e-Millat Road	 Quyumabad
 Quyumabad	

Adamjee Road	 Society
 Society	 Jail Road
 Jail Road	 New M.A Jinnah Road
 New M.A Jinnah Road	 Mazar-e-Quaid
 Mazar-e-Quaid	 Old Exhibition
 Old Exhibition	 M.A Jinnah Road
 M.A Jinnah Road	 N.S.C Building
 N.S.C Building	

Agra Taj Colony	 Daryabad
 Daryabad	 Baghdadi P.S Noorabad
 Baghdadi P.S Noorabad	 Shah Waliullah Road
 Shah Waliullah Road	 Cafe Nawabad
 Cafe Nawabad	

Enrollment Road	 Jamat Khana
 Jamat Khana	 Tower
 Tower	 Mcleod Road
 Mcleod Road	 City Court
 City Court	 Juna Market
 Juna Market	 Lawrence Road
 Lawrence Road	

K.M.C Workshop	 Garden
 Garden	 Soldier Bazar
 Soldier Bazar	 Goro Mandir
 Goro Mandir	 Shahra-e-Quaiden
 Shahra-e-Quaiden	 Tariq Road
 Tariq Road	 CafeLiberty
 CafeLiberty	 Bahadurabad
 Bahadurabad	 Kachi Memon Society
 Kachi Memon Society	 Dhoraji
 Dhoraji	 Ghazi Salahuddin Road
 Ghazi Salahuddin Road	

Masjid Adamjee Nagar	 Dhoraji Colony
 Dhoraji Colony	 Bahadurabad
 Bahadurabad	 Soceity
 Soceity	 Tariq Road
 Tariq Road	 Society Office GoroMandir
 Society Office GoroMandir	 Bandar Road
 Bandar Road	 Tibet Building
 Tibet Building	 Regal Chowk
 Regal Chowk	 Frere Road
 Frere Road	 Jama Cloth Market
 Jama Cloth Market	 Tower
 Tower	 Keamari K.P.T Ground
 Keamari K.P.T Ground	

P.A.F Masroor	 Agra Taj
 Agra Taj	 Tower
 Tower	 Aram Bagh
 Aram Bagh	 Frere Road
 Frere Road	 Saddar
 Saddar	 Empress Market
 Empress Market	 Jutland

Lines	 Nursery
 Nursery	 Tariq Road
 Tariq Road	 Bahadurabad
 Bahadurabad	 Dhoraji Colony
 Dhoraji Colony	

Gulshan-e-Behar	 Orangi Town No. 6
 Orangi Town No. 6	 Orangi Town No.14
 Orangi Town No.14	 Orangi Town No. 13
 Orangi Town No. 13	 Orangi TownNo. 12
 Orangi TownNo. 12	 Orangi Town No. 5
 Orangi Town No. 5	 Metro Cinema
 Metro Cinema	 Abdullah College
 Abdullah College	 Paposh Nagar
 Paposh Nagar	 Nazimabad PetrolPump
 Nazimabad PetrolPump	 Liaquatabad No. 10
 Liaquatabad No. 10	 Numaish
 Numaish	 Nursery
 Nursery	 F.T.C
 F.T.C	 Kala Pul
 Kala Pul	 Defence
 Defence	 Akhtar Colony
 Akhtar Colony	

Qayyumabad	 Korangi No. 1
 Korangi No. 1	 Korangi No. 6
 Korangi No. 6	 Landhi No. 1
 Landhi No. 1	 Landhi No. 6
 Landhi No. 6	 Dawood Chowrangi
 Dawood Chowrangi	Muzafarabad Chowrangi

Scout Colony	 Rashid Minhas Road
 Rashid Minhas Road	 Gulshan
 Gulshan	 New Dhoraji Colony
 New Dhoraji Colony	 Qyub Manzil
 Qyub Manzil	 Imam Hospital
 Imam Hospital	

Dastagir No. 9	 Aliabad
 Aliabad	 Azizabad
 Azizabad	 Hussainabad
 Hussainabad	 Gharibabad
 Gharibabad	 Liaquatabad
 Liaquatabad	 Post Office
 Post Office	 FirdousColony
 FirdousColony	 Golimar Chowrangi
 Golimar Chowrangi	 Jehangirabad
 Jehangirabad	 Bara Board
 Bara Board	 Pakistan Quarters
 Pakistan Quarters	 Garden
 Garden	 Nishter

Road	 Juuna Market
 Juuna Market	 Lee Market
 Lee Market	 Khajoor Market
 Khajoor Market	 Kakri Road
 Kakri Road	 Gymkhana Club
 Gymkhana Club	 Kharadar
 Kharadar	Tower
Tower	 West Wharf Road

Asif Centre Super Highway	 Water Pump
 Water Pump	 Sohrab Goth
 Sohrab Goth	 Aisha Manzil
 Aisha Manzil	 Karimabad
 Karimabad	 Liaquatabad
 Liaquatabad	

Teen Hatti	 Lasbela House
 Lasbela House	 Garden
 Garden	 Ram Swami
 Ram Swami	 Civil Hospital
 Civil Hospital	 West Wharf
 West Wharf	 Dockyard
 Dockyard	

Islam Nagar	 Faqir Colony
 Faqir Colony	 Mominabad
 Mominabad	 Metroville
 Metroville	 Fronteir Colony
 Fronteir Colony	 Bhawani Challi
 Bhawani Challi	 S.I.T.E
 S.I.T.E	

Police Station	 Ghani Chowrangi
 Ghani Chowrangi	 Shershah
 Shershah	 Gulbai
 Gulbai	 Mauri Pur
 Mauri Pur	 Tower
 Tower	 Keamari
 Keamari	 Masan Road
 Masan Road	Shirin Jinnah Colony
Shirin Jinnah Colony	 Shahra-e-Ghalib Chowrangi
 Shahra-e-Ghalib Chowrangi	 Shahra-e-Firdousi
 Shahra-e-Firdousi	 Mazar Abdullah Ghazi
 Mazar Abdullah Ghazi	Khayaban-e-Shamsheer
Khayaban-e-Shamsheer	 Saudi Embassy
 Saudi Embassy	 Khaliquzzaman Road
 Khaliquzzaman Road	 Punjab Colony
 Punjab Colony	 Sunset
 Sunset	Bulivard
Bulivard	 Korongi Road
 Korongi Road	Naval Colony
Naval Colony	 Fareed Colony
 Fareed Colony	 Urdu Chowk
 Urdu Chowk	 Orangi No. 10
 Orangi No. 10	 Orangi No. 5
 Orangi No. 5	 Metro
 Metro	 Banaras
 Banaras	 HabibBank
 HabibBank	 Shershah
 Shershah	 Gulbai
 Gulbai	 Mauri Pur
 Mauri Pur	 Tower
 Tower	 M.T Khan Road
 M.T Khan Road	 P.I.D.C
 P.I.D.C	 Cantt Station
 Cantt Station	 JinnahHospital
 JinnahHospital	 Kala Pul
 Kala Pul	 Defence Society
 Defence Society	 Akhter Colony
 Akhter Colony	 Quyumabad Chowk
 Quyumabad Chowk	 Buscuit Factory
 Buscuit Factory	Chamra Chowrangi
Chamra Chowrangi	Surjani Town Sector 10
Surjani Town Sector 10	 Kala School
 Kala School	 U.P Society
 U.P Society	 Nagan Chowrangi
 Nagan Chowrangi	 Sohrab Goth
 Sohrab Goth	 Karimabad
 Karimabad	Liaquatabad
Liaquatabad	 Numaish
 Numaish	 Shaharh-e-Quaideen
 Shaharh-e-Quaideen	 F.T.C
 F.T.C	 Gora Qabristan
 Gora Qabristan	 Kala Pul
 Kala Pul	 Jinnah Hospital
 Jinnah Hospital	

Askari Appartment	 Cantt Station
 Cantt Station	 Ch. Khaliquzzaman Road
 Ch. Khaliquzzaman Road	 Gizri
 Gizri	

Dehli Saudagar Colony	 Malir Scheme No. 1
 Malir Scheme No. 1	 Azimpura
 Azimpura	 Shah Faisal Colony No. 3
 Shah Faisal Colony No. 3	 Drigh ColonyNo. 2
 Drigh ColonyNo. 2	 Drigh Colony No. 1
 Drigh Colony No. 1	 Natha Khan Goth
 Natha Khan Goth	 Drigh Road
 Drigh Road	 Station
 Station	 Jail Road
 Jail Road	 Teen Hatti
 Teen Hatti	Liaquatabad
Liaquatabad	 Post Office
 Post Office	 Nazimabad No. 1
 Nazimabad No. 1	 Nazimabad No. 2
 Nazimabad No. 2	 Habib Bank
 Habib Bank	 Liaquatabad
 Liaquatabad	No.10
No.10	Liaquatabad
Liaquatabad	 No.4
 No.4	 Gujjar nala
 Gujjar nala	 Petrol Pump
 Petrol Pump	Nazimabad No.1
Nazimabad No.1	Nazimabad No.2
Nazimabad No.2	HabibBank
HabibBank	 Valika Mills
 Valika Mills	 Pathan Colony
 Pathan Colony	Bhains Colony
Bhains Colony	 Qasba Mour
 Qasba Mour	 Orangi No.1
 Orangi No.1	Orangi No.7
Orangi No.7	OrangiNo.13
OrangiNo.13	Orangi No.14
Orangi No.14	Gulshan-e-Bihar
Gulshan-e-Bihar	Memom Goth
Memom Goth	 Jama Goth
 Jama Goth	 Mulla Issa
 Mulla Issa	 Old Thana
 Old Thana	 Asso Goth
 Asso Goth	 Dond Goth
 Dond Goth	 Shahra-e-Rasisal
 Shahra-e-Rasisal	Drigh Road
Drigh Road	 Station
 Station	 Dalmia
 Dalmia	 Cement Factory
 Cement Factory	 National Stadium
 National Stadium	 Jail Road
 Jail Road	 P.I.B Colony
 P.I.B Colony	 TeenHatti
 TeenHatti	 Lasbela
 Lasbela	 Garden
 Garden	 Shoe Market
 Shoe Market	 Ranchore Lane
 Ranchore Lane	 Haji Camp
 Haji Camp	 Lee Market
 Lee Market	Chakiwara
Chakiwara	Shershah
Shershah	R.C.D Highway
R.C.D Highway	

Gulshan-e-Hadeed Phase II	 Gulshan-e-Hadeed Phase I
 Gulshan-e-Hadeed Phase I	 Steel Town
 Steel Town	 Pipri
 Pipri	 Bhense Colony
 Bhense Colony	

Quaidabad	 Malir Halt
 Malir Halt	 Star Gate
 Star Gate	 Karsaz
 Karsaz	 Nursery
 Nursery	 F.T.C
 F.T.C	 Fleet Club
 Fleet Club	 Station
 Station	 Main Clifton Road
 Main Clifton Road	Mazar Abdullah Shah Ghazi
Mazar Abdullah Shah Ghazi	 Kinara Hotel
 Kinara Hotel	

Hussain D'Silva Town	 Paposh Nagar
 Paposh Nagar	 Bara Maidan
 Bara Maidan	 Chota Maidan
 Chota Maidan	 Chowrangi No. 2
 Chowrangi No. 2	 Golimar
 Golimar	Nazrul Islam Road
Nazrul Islam Road	 M.A Jinnah Road
 M.A Jinnah Road	 Keamari
 Keamari	

Surjani Town Sector 7-D	 Faizabad Sector 7-A
 Faizabad Sector 7-A	 Faizabad Sector 7-B
 Faizabad Sector 7-B	 Faizabad Sector 4-A
 Faizabad Sector 4-A	

Muslimabad	 U.P Soceity
 U.P Soceity	 Nagan Chowrangi
 Nagan Chowrangi	 Power House
 Power House	 Al-Noor Society
 Al-Noor Society	 Gulberg
 Gulberg	 WaterPump
 WaterPump	 Aisha Manzil
 Aisha Manzil	 Karimabad
 Karimabad	 Liaquatabad No. 10
 Liaquatabad No. 10	 Teen Hatti
 Teen Hatti	 Lasbela
 Lasbela	 Garden
 Garden	Ranchori line
Ranchori line	 

Purran Hagi Camp	 Lee Market
 Lee Market	Kharadar
Kharadar	 Tower
 Tower	

Naval Colony	 Moach Goth
 Moach Goth	 Hub River Road
 Hub River Road	 Shershah
 Shershah	 Gulbai
 Gulbai	 Wazir Mansion
 Wazir Mansion	 Jamat Khana
 Jamat Khana	

Tower	 City Post Office
 City Post Office	 Jama Cloth Market
 Jama Cloth Market	 M.A Jinnah Road
 M.A Jinnah Road	 Saeed Manzil
 Saeed Manzil	 Numaish
 Numaish	 Shahrae-Quaiden
 Shahrae-Quaiden	 Khaled Bin Walid Road
 Khaled Bin Walid Road	 Shaheed-e-Millat Road
 Shaheed-e-Millat Road	 Baloch Colony
 Baloch Colony	 Mehmodabad No.6
 Mehmodabad No.6	

Bhense Colony	 Khokhrapar No. 1
 Khokhrapar No. 1	 Khokhrapar No. 4
 Khokhrapar No. 4	 Saudabad
 Saudabad	 Liaquat Market
 Liaquat Market	 Malir City
 Malir City	

Faisal Road	 Karsaz
 Karsaz	 Stadium
 Stadium	 New Town
 New Town	 Jail Road
 Jail Road	 Teen Hatti
 Teen Hatti	 Liaquatabad No. 10
 Liaquatabad No. 10	 PetrolPump
 PetrolPump	 Nazimabad No. 2
 Nazimabad No. 2	 Baramaidan
 Baramaidan	 Paposh Nagar
 Paposh Nagar	 Abdullah College
 Abdullah College	 Banaras Colony
 Banaras Colony	 QasbaMour 
 QasbaMour 	Korangi No.7
Korangi No.7	Korangi No.8
Korangi No.8	Korangi No.13
Korangi No.13	Korangi No.14
Korangi No.14	Noorani Masjid Block 20 Fedral B. Area
Noorani Masjid Block 20 Fedral B. Area	 Gulberg
 Gulberg	 Water Pump
 Water Pump	 Nasirabad
 Nasirabad	 Aisha Manzil
 Aisha Manzil	

Dastagir	 Azizabad
 Azizabad	 Gharibabad
 Gharibabad	 Liaquatabad No. 10
 Liaquatabad No. 10	 Teen Hatti
 Teen Hatti	 Jail Road
 Jail Road	 New Town
 New Town	 P.A.FStop Gate
 P.A.FStop Gate	 Nafees Cinema
 Nafees Cinema	 Saudabad
 Saudabad	 Khokhrapar No. 6
 Khokhrapar No. 6	

Khokhrapar	 Saudabad
 Saudabad	 Tanki
 Tanki	 Kala Board
 Kala Board	 Malir Halt
 Malir Halt	 Star Gate
 Star Gate	 Shahra-e-Faisal
 Shahra-e-Faisal	 Karsaz
 Karsaz	

Stadium	 Sabzi Mandi
 Sabzi Mandi	 Hassan Square
 Hassan Square	 Liaquatabad No. 10
 Liaquatabad No. 10	 Nazimabad
 Nazimabad	 Habib Bank
 Habib Bank	 ValikaMills
 ValikaMills	 Manghopir Road
 Manghopir Road	 S.I.T.E
 S.I.T.E	 Metriville
 Metriville	

Malir City Petrol Pump	 Moosa Hotel
 Moosa Hotel	 Asoo Goth
 Asoo Goth	 Nadi Kinara
 Nadi Kinara	 Bhiroo Goth
 Bhiroo Goth	 Old Thana
 Old Thana	 Mullah Issa Goth
 Mullah Issa Goth	 Jam Goth
 Jam Goth	 Memon Mullah Issa Goth
 Memon Mullah Issa Goth	 Memon Goth
 Memon Goth	 Khaskheli Goth
 Khaskheli Goth	 Hussain D'Silva
 Hussain D'Silva	

Extension Malir City Petrol Pump	 Ibrahim Hyderi
 Ibrahim Hyderi	 Malir Mandir
 Malir Mandir	 Murghee Khana
 Murghee Khana	 Quaidabad
 Quaidabad	

Dawood Chourangi	 Landhi No.1
 Landhi No.1	 Landhi No.6
 Landhi No.6	Korangi No.4
Korangi No.4	 Korangi No.2 1/2
 Korangi No.2 1/2	 Coast Guards
 Coast Guards	

Mansfield Street	 Prince Street
 Prince Street	 Dawood Pota Road
 Dawood Pota Road	 M.A Jinnah Road
 M.A Jinnah Road	 7th Day Hospital
 7th Day Hospital	 OldExhibition
 OldExhibition	 Jail Road
 Jail Road	 Stadium Road
 Stadium Road	 Karsaz
 Karsaz	 National Highway
 National Highway	 Kala Board
 Kala Board	 Saudabad
 Saudabad	Khokhrapar
Khokhrapar	

Safuran Goth	 Quetta Lane
 Quetta Lane	 Asif Market
 Asif Market	 Tanki No. 4
 Tanki No. 4	 C.M.H Picaddily Cinema Chowk
 C.M.H Picaddily Cinema Chowk	 CanttBazar
 CanttBazar	 Dairy Farm Model Colony
 Dairy Farm Model Colony	 Security Printing Press
 Security Printing Press	 Malir Halt
 Malir Halt	 Shahra-e-Faisal
 Shahra-e-Faisal	 P.A.F
 P.A.F	

Nursery	 Taj Mahal Hotel
 Taj Mahal Hotel	 Jinnah Hospital
 Jinnah Hospital	 Cantt Station
 Cantt Station	 Saudi Embassy
 Saudi Embassy	M.A Ghazi
M.A Ghazi	Clifton
Clifton	

Asphalt	 Oil Piri Road
 Oil Piri Road	 Keemari
 Keemari	 Ghas Mandir
 Ghas Mandir	Netti Jatti
Netti Jatti	Tower
Tower	 Custom House
 Custom House	 West WharafRoad
 West WharafRoad	 Fisheries
 Fisheries	

Malir Halt	 Mehran Depot
 Mehran Depot	 Model Colony
 Model Colony	 Moenabad
 Moenabad	 Saudabad
 Saudabad	 Liaquat Market
 Liaquat Market	 Jinnah Square
 Jinnah Square	

Jaffer Tayyar Society	 Malir City
 Malir City	 Quaidabad
 Quaidabad	 Quaidabad Railway StationKorangi
 Quaidabad Railway StationKorangi	 Quaters
 Quaters	 Chungi Naka
 Chungi Naka	 Cost Guard
 Cost Guard	 Korangi No. 2 1/2
 Korangi No. 2 1/2	 Korangi No. 1
 Korangi No. 1	 Korangi Crossing
 Korangi Crossing	

Quyumabad	 Defence View
 Defence View	 Baloch Colony
 Baloch Colony	 Tariq Road Chowrangi
 Tariq Road Chowrangi	 Shaheed-e-Millat Road
 Shaheed-e-Millat Road	 JailRoad
 JailRoad	 Sabzi Mandi
 Sabzi Mandi	 Hassan Square
 Hassan Square	 N.I.P.A Chowrangi
 N.I.P.A Chowrangi	 Rashid Minhas Road
 Rashid Minhas Road	 Motti Mahal
 Motti Mahal	 CityGarden
 CityGarden	 Sohrab Goth
 Sohrab Goth	 Shahrah-e-Wali Ullah Road
 Shahrah-e-Wali Ullah Road	 Power House
 Power House	Shafiq Mour
Shafiq Mour	 Godhra Chowk
 Godhra Chowk	

Industrial Area	 Ghodra No.7
 Ghodra No.7	 Saba Cinema
 Saba Cinema	Ayub Goth
Ayub Goth	

M.E.S	 Model Colony Malir Halt
 Model Colony Malir Halt	 Shah Faisal Railway Station
 Shah Faisal Railway Station	 Karsaz
 Karsaz	 Stadium
 Stadium	 Jail Road
 Jail Road	 PirColony
 PirColony	 Lasbela Chowk
 Lasbela Chowk	

Chaman Colony	 Market
 Market	 Dak Khana
 Dak Khana	 Sindh Goverment Hospital
